$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATION,$HAVE_VERIFY,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,2.1585
0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.4997
1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,3.2671
0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1.2475
0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.7530
1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2.0308
1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,6.4875
0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0.5213
1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,38.9775
0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.9298
1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,21.2650
1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8516
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10.9301
1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,6.5145
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.7537
1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,6.5172
1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.8585
0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1.3028
1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,21.2163
1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2.0325
0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0.3844
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0.4787
1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,5.8451
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.5031
0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0.4762
1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,21.3091
1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,19.9848
0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.4714
0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.9295
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,37.8259
0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.5005
0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0.9324
1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,37.6443
0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.3941
1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,37.7662
0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.6332
1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5.8435
0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.5759
1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,21.2463
1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,2.0367
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.4775
0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0.9266
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0.5172
1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,6.5230
1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,5.8631
0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1.3062
0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.5239
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.5199
1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.8904
1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,6.5083
1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,10.9268
1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,10.9309
0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.5130
0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1.3174
0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.5240
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,5.8467
0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1.2416
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,19.9323
0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1.2534
1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,38.9351
0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,2.1190
0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0.6370
1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,10.7514
0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.7547
