$time_passes,$gvn,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<Performance
1,1,1,1,1,0,1,0,1,0,1,262.22
1,0,0,0,1,0,1,1,1,0,0,200.82
1,1,0,1,1,0,1,1,1,0,1,252.37
1,1,1,1,0,1,1,0,1,1,0,255.47
1,0,0,1,1,0,1,0,1,0,0,211.59
1,0,0,0,1,1,1,0,1,0,1,216.30
1,1,1,0,0,0,1,0,1,0,0,240.16
1,0,1,0,1,1,1,1,1,1,0,232.96
1,1,0,1,1,0,1,0,1,0,0,237.50
1,0,1,1,0,1,1,1,1,0,1,249.83
1,1,1,1,1,0,1,1,1,1,1,267.32
1,1,0,0,0,1,1,0,0,0,0,229.68
1,0,0,1,0,1,1,1,1,1,1,267.70
1,1,0,1,1,0,0,1,0,0,0,239.56
1,0,1,0,1,0,0,0,0,1,1,231.32
1,1,0,0,1,1,1,1,0,0,1,256.23
1,1,0,1,1,0,1,0,1,0,1,247.79
1,1,1,1,0,1,1,0,1,0,0,249.12
1,0,1,0,1,1,1,1,1,0,0,231.16
1,1,0,1,0,0,1,0,1,0,0,236.24
1,0,0,1,0,1,1,0,1,0,0,211.74
1,0,0,0,1,1,1,1,1,0,0,205.71
1,0,0,1,0,1,1,1,1,0,1,259.38
1,1,0,0,0,0,1,1,1,0,0,221.33
1,1,0,0,0,0,0,0,0,0,0,234.68
1,0,0,0,1,0,1,0,1,1,1,215.99
1,0,0,0,1,1,1,0,1,0,0,203.93
1,0,1,1,0,0,0,0,0,1,1,244.92
1,1,1,1,0,0,1,1,1,1,1,264.93
1,0,1,1,1,0,1,1,1,1,0,231.21
1,1,0,1,0,0,1,1,1,1,0,235.92
1,1,0,0,0,1,1,0,1,1,1,234.67
1,1,1,0,0,1,1,1,1,0,0,239.37
1,0,0,1,0,0,1,0,1,0,0,212.94
1,1,1,1,0,1,0,0,0,1,0,246.94
1,1,1,0,0,0,1,1,1,1,0,241.70
1,0,0,0,0,1,0,0,0,1,1,213.48
1,0,0,1,1,1,1,1,1,0,1,263.58
1,0,0,0,0,1,1,1,1,1,1,219.37
1,1,0,1,0,1,1,0,1,0,0,238.25
1,0,0,0,1,1,1,1,0,1,0,203.86
1,1,0,1,1,1,1,1,1,1,0,239.24
1,0,0,1,1,0,1,0,0,1,0,215.31
1,1,1,0,1,1,1,0,0,1,1,251.98
1,0,0,0,0,0,1,0,0,1,0,200.66
1,0,0,0,0,1,0,0,0,0,0,206.90
1,0,0,1,1,1,0,1,0,0,1,259.38
1,0,1,0,0,1,1,0,1,0,0,219.97
1,1,0,0,1,0,1,0,1,1,0,224.53
1,1,1,0,1,1,1,1,1,1,1,254.12
1,1,0,0,1,0,1,1,1,1,0,226.65
1,0,0,1,0,0,1,0,1,1,1,246.13
1,0,1,0,0,1,0,0,0,0,1,237.10
1,1,1,1,1,0,1,1,1,0,0,254.13
1,1,1,0,1,0,0,0,0,0,0,245.94
1,0,1,1,1,0,1,0,1,0,0,227.75
1,1,0,1,1,0,0,0,0,0,1,239.96
1,0,0,1,1,1,0,0,0,0,1,264.51
1,0,0,0,1,1,0,0,0,1,1,214.24
1,0,0,1,1,0,0,0,0,0,1,266.32
1,1,0,1,0,0,1,1,0,1,0,233.43
1,0,0,1,0,0,1,1,0,1,1,261.13
1,0,1,1,0,1,1,1,1,1,0,230.79
1,1,0,0,1,0,1,0,0,0,1,238.20
1,1,1,0,0,1,0,1,0,1,1,250.34
1,0,0,1,0,1,1,1,1,0,0,211.00
1,0,1,1,0,0,1,0,1,0,0,227.13
1,0,0,1,1,0,1,0,1,0,0,211.27
1,1,0,0,0,0,1,0,0,0,0,229.17
1,1,1,0,0,1,1,1,1,1,0,243.12
1,0,0,1,1,1,1,0,1,1,0,215.73
1,1,1,0,1,1,0,0,0,0,1,254.73
1,1,1,0,0,1,1,1,1,1,1,252.77
1,0,0,1,1,0,1,0,0,1,1,264.18
1,1,1,1,1,1,0,0,0,0,0,243.28
1,1,0,0,0,0,1,1,0,1,1,232.27
1,0,0,1,1,1,1,0,1,1,1,262.67
1,0,1,1,0,1,1,1,1,0,0,230.94
1,0,1,1,1,0,1,1,1,1,1,247.26
1,0,1,1,0,1,0,0,0,0,1,252.27
1,0,0,1,0,1,1,1,0,1,0,213.00
1,1,1,1,0,1,1,1,0,0,1,264.93
1,1,0,1,0,1,1,1,0,1,0,235.53
1,0,0,1,1,1,1,0,0,0,1,266.27
1,1,0,0,1,1,0,1,0,0,0,227.94
1,0,1,1,0,0,1,0,1,1,1,248.20
1,0,1,0,1,0,0,0,0,1,0,217.93
1,1,0,0,0,1,1,1,0,1,0,225.26
1,1,0,1,1,1,1,0,0,0,0,256.97
1,1,1,1,0,1,1,0,1,0,1,262.68
1,1,0,1,1,0,1,0,1,1,1,253.82
1,1,0,0,0,1,1,0,0,0,1,237.89
1,1,1,0,0,1,1,1,1,0,0,245.60
1,1,0,0,1,1,1,1,1,1,1,252.62
1,1,1,1,1,0,0,1,0,1,0,247.80
1,0,0,1,0,0,1,1,1,0,1,243.83
1,0,0,1,1,0,0,1,0,0,1,264.74
1,0,1,1,0,0,1,1,1,0,0,230.69
1,0,1,0,0,1,1,0,1,1,1,233.43
1,0,1,0,0,1,1,1,1,1,1,236.17
1,1,0,0,1,0,1,0,1,0,0,228.28
1,1,1,1,0,0,0,1,0,1,1,261.44
1,1,1,1,0,1,0,0,0,1,1,260.50
1,1,0,0,0,0,0,1,0,0,0,227.85
1,1,0,1,1,1,1,0,0,0,1,240.43
1,0,1,1,0,0,1,0,1,1,0,229.64
1,0,1,1,1,0,1,0,0,1,0,230.57
1,1,1,1,1,0,0,0,0,1,0,246.73
1,1,1,1,0,0,0,0,0,0,0,244.30
1,1,0,1,1,0,1,1,1,1,1,253.54
1,0,1,1,1,1,0,0,0,1,1,247.13
1,0,1,0,1,1,1,1,1,1,1,235.96
