$no_asm,$no_8x8dct,$no_cabac,$no_deblock,$no_fast_pskip,$no_mbtree,$no_mixed_refs,$no_weightb,$rc_lookahead,$rc_lookahead_20,$rc_lookahead_40,$rc_lookahead_60,$ref,$ref_1,$ref_5,$ref_9,$<Performance
1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,261.203
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,614.570
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,279.267
1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,463.363
1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,247.730
1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,260.410
1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,493.703
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,721.563
1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,455.680
1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,263.753
1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,604.917
1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,482.377
1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,286.397
1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,408.073
1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,279.903
1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,263.910
1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,426.417
1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,295.333
1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,414.737
1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,645.540
1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,645.447
1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,408.840
1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,575.397
1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,741.590
1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,508.767
1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,278.227
1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,476.863
1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,573.630
1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,305.400
1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,444.333
1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,575.663
1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,564.200
1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,456.363
1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,683.750
1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,607.927
1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,555.203
1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,380.840
1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,275.970
1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,705.453
1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,507.750
1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,279.753
1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,733.777
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,576.480
1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,276.010
1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,616.620
1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,556.307
1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,665.283
1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,407.990
1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,262.530
1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,299.627
1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,495.723
1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,519.413
1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,731.410
1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,383.260
1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,275.427
1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,244.433
1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,493.307
1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,651.703
1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,262.610
1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,615.057
1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,414.997
1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,279.150
1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,246.487
1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,476.937
1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,270.137
1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,310.253
1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,544.740
1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,516.587
1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,726.790
1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,564.030
1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,704.220
1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,494.320
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,740.210
1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,256.720
1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,651.490
1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,266.527
1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,493.543
1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,485.583
1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,487.010
1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,310.577
1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,543.590
1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,423.077
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,643.960
1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,462.437
1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,482.083
1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,408.750
1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,262.793
1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,680.617
1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,561.333
1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,562.187
1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,571.473
1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,254.587
1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,517.123
1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,571.310
1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,482.877
1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,295.490
1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,420.683
1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,244.277
1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,485.477
1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,561.790
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,279.157
1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,807.333
1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,462.500
1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,821.527
1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,382.883
1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,651.200
1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,249.730
1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,511.480
1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,665.167
