Features ant lucene jedit ivy poi 
wmc 0.00 2.17 0.00 0.00 0.00 
dit 0.00 0.00 0.00 0.00 0.00 
noc 0.00 0.00 0.00 0.00 0.00 
cbo 79.35 100.00 1.09 98.91 0.00 
rfc 100.00 0.00 100.00 1.09 100.00 
lcom 0.00 0.00 0.00 0.00 0.00 
ca 0.00 2.17 0.00 1.09 0.00 
ce 0.00 0.00 0.00 0.00 0.00 
npm 0.00 0.00 0.00 0.00 0.00 
lcom3 0.00 0.00 0.00 0.00 0.00 
loc 100.00 0.00 0.00 100.00 100.00 
dam 0.00 0.00 0.00 0.00 0.00 
moa 0.00 0.00 0.00 0.00 0.00 
mfa 20.65 0.00 1.09 0.00 0.00 
cam 0.00 0.00 0.00 69.02 1.09 
ic 0.00 0.00 0.00 0.00 0.00 
cbm 0.00 0.00 0.00 0.00 0.00 
amc 0.00 0.00 0.00 0.00 0.00 
max_cc 0.00 0.00 0.00 0.00 0.00 
avg_cc 20.65 97.83 0.00 1.09 0.00 
