Features CD+FS HOW XTREE CD 
wmc 0.00 0.00 0.00 91.57 
dit 0.00 0.00 0.00 77.11 
noc 0.00 0.00 0.00 20.48 
cbo 99.40 0.00 83.13 99.40 
rfc 100.00 98.80 100.00 100.00 
lcom 0.00 0.00 0.00 98.80 
ca 0.00 0.00 0.00 93.98 
ce 99.40 97.59 0.00 99.40 
npm 0.00 0.00 0.00 88.55 
lcom3 90.36 100.00 0.00 90.36 
loc 98.19 99.40 100.00 98.19 
dam 0.00 0.00 0.00 20.48 
moa 0.00 0.00 0.00 66.87 
mfa 0.00 0.00 16.87 92.77 
cam 0.00 99.40 0.00 99.40 
ic 0.00 0.00 0.00 52.41 
cbm 0.00 0.00 0.00 59.04 
amc 99.40 100.00 0.00 99.40 
max_cc 0.00 0.00 0.00 87.35 
avg_cc 0.00 0.00 16.87 99.40 
