Features CD+FS HOW XTREE CD 
wmc 0.00 0.00 35.00 95.00 
dit 0.00 0.00 0.00 87.50 
noc 0.00 0.00 0.00 0.00 
cbo 100.00 0.00 100.00 100.00 
rfc 95.00 100.00 35.00 95.00 
lcom 0.00 0.00 0.00 100.00 
ca 95.00 97.50 0.00 95.00 
ce 0.00 100.00 0.00 97.50 
npm 0.00 0.00 0.00 97.50 
lcom3 0.00 0.00 0.00 95.00 
loc 97.50 100.00 35.00 97.50 
dam 0.00 0.00 0.00 22.50 
moa 0.00 0.00 0.00 82.50 
mfa 90.00 35.00 0.00 90.00 
cam 0.00 0.00 100.00 100.00 
ic 0.00 0.00 0.00 70.00 
cbm 0.00 0.00 0.00 85.00 
amc 0.00 0.00 100.00 95.00 
max_cc 0.00 0.00 0.00 85.00 
avg_cc 95.00 100.00 0.00 95.00 
