Features ant lucene jedit poi ivy 
wmc 0.00 100.00 0.00 0.00 0.00 
dit 0.00 0.00 0.00 0.00 0.00 
noc 0.00 0.00 0.00 0.00 0.00 
cbo 100.00 96.17 0.00 0.00 95.32 
rfc 100.00 0.00 100.00 100.00 4.68 
lcom 0.00 0.00 0.00 0.00 0.00 
ca 0.00 0.00 0.00 0.00 4.68 
ce 0.00 3.83 0.00 0.00 0.00 
npm 55.74 0.00 0.00 0.00 0.00 
lcom3 55.74 0.00 0.00 0.00 0.00 
loc 44.26 0.00 1.28 100.00 100.00 
dam 0.00 0.00 0.00 0.00 0.00 
moa 0.00 0.00 0.00 0.00 0.00 
mfa 0.00 0.00 0.00 0.00 4.68 
cam 0.00 3.83 0.00 1.28 53.19 
ic 0.00 0.00 0.00 0.00 0.00 
cbm 0.00 0.00 0.00 0.00 0.00 
amc 0.00 96.17 0.00 0.00 0.00 
max_cc 0.00 0.00 0.00 0.00 0.00 
avg_cc 0.00 0.00 0.00 0.00 0.00 
