Features CD+FS HOW XTREE CD 
wmc 0.00 0.00 0.00 100.00 
dit 0.00 0.00 0.00 46.98 
noc 0.00 0.00 0.00 0.00 
cbo 0.00 0.00 0.00 74.38 
rfc 0.00 100.00 100.00 95.37 
lcom 100.00 100.00 0.00 100.00 
ca 0.00 0.00 0.00 74.38 
ce 0.00 0.00 0.00 64.41 
npm 0.00 0.00 0.00 100.00 
lcom3 92.53 100.00 0.00 92.53 
loc 0.00 0.00 100.00 100.00 
dam 0.00 0.00 0.00 73.31 
moa 0.00 0.00 0.00 58.01 
mfa 0.00 0.00 0.00 72.60 
cam 98.93 100.00 0.71 98.93 
ic 0.00 0.00 0.00 42.35 
cbm 67.97 99.29 0.00 67.97 
amc 97.15 100.00 0.00 97.15 
max_cc 0.00 0.00 0.00 63.70 
avg_cc 92.17 0.00 0.00 92.17 
