Feature,Before,After
0 , 0.3536 , 0.0064420771323
1 , 0.3538 , 0.0064420771323
2 , 0.3564 , 0.00659705772771
3 , 0.3589 , 0.00661647618511
4 , 0.3596 , 0.00663359230178
5 , 0.3601 , 0.0067139907205
6 , 0.3605 , 0.00678674907662
7 , 0.3606 , 0.00687276243348
8 , 0.3614 , 0.0069172464878
9 , 0.3617 , 0.00692264618953
10 , 0.362 , 0.00692264618953
11 , 0.3621 , 0.00692264618953
12 , 0.3625 , 0.00699942597072
13 , 0.3631 , 0.00701964957355
14 , 0.3633 , 0.00712219126592
15 , 0.3633 , 0.00720195512513
16 , 0.3634 , 0.00723887628468
17 , 0.3635 , 0.0073254077087
18 , 0.3639 , 0.0073254077087
19 , 0.3642 , 0.0073254077087
20 , 0.3644 , 0.00736542536862
21 , 0.3651 , 0.0074629071269
22 , 0.3652 , 0.0074740556195
23 , 0.3653 , 0.00763534258195
24 , 0.3658 , 0.00763616185379
25 , 0.3658 , 0.00763616185379
26 , 0.3659 , 0.00763616185379
27 , 0.366 , 0.00763939393815
28 , 0.366 , 0.00767617077458
29 , 0.3664 , 0.00771951644247
30 , 0.3671 , 0.00783618324113
31 , 0.3671 , 0.00785971399202
32 , 0.3671 , 0.00788991012197
33 , 0.3675 , 0.00800570308722
34 , 0.3676 , 0.00801876867397
35 , 0.3676 , 0.00807781410869
36 , 0.3676 , 0.00808887463024
37 , 0.3676 , 0.0081951742203
38 , 0.3677 , 0.00824599857528
39 , 0.3683 , 0.00826342488301
40 , 0.3689 , 0.00826342488301
41 , 0.369 , 0.00826601071371
42 , 0.3696 , 0.0083829253452
43 , 0.3696 , 0.00868224390917
44 , 0.3701 , 0.00868224390917
45 , 0.3705 , 0.00873440215663
46 , 0.3705 , 0.0087409755261
47 , 0.3707 , 0.00876345490045
48 , 0.3728 , 0.00876345490045
49 , 0.3815 , 0.00876345490045
50 , 0.3825 , 0.00876345490045
51 , 0.3825 , 0.00876345490045
52 , 0.3826 , 0.00876345490045
53 , 0.3827 , 0.00876664157721
54 , 0.3828 , 0.00882622314698
55 , 0.383 , 0.00882622314698
56 , 0.3831 , 0.00887258957899
57 , 0.3834 , 0.00889062101596
58 , 0.3835 , 0.00896494942055
59 , 0.3837 , 0.00909473224317
60 , 0.3849 , 0.00910040306369
61 , 0.3851 , 0.00910040306369
62 , 0.3853 , 0.00918086444991
63 , 0.3854 , 0.00918469685165
64 , 0.3857 , 0.00930835627153
65 , 0.3859 , 0.00932668564698
66 , 0.3869 , 0.00932668564698
67 , 0.387 , 0.0094223704328
68 , 0.387 , 0.0094223704328
69 , 0.3874 , 0.00943231596094
70 , 0.3875 , 0.00945790455686
71 , 0.3875 , 0.00951263522715
72 , 0.3877 , 0.00954033299645
73 , 0.3879 , 0.00955064852166
74 , 0.3881 , 0.00957467906329
75 , 0.3881 , 0.00957655523325
76 , 0.3884 , 0.00959994019302
77 , 0.3885 , 0.00962714533133
78 , 0.3887 , 0.00962714533133
79 , 0.3892 , 0.00971977063068
80 , 0.3898 , 0.00974864330508
81 , 0.3898 , 0.00987220944635
82 , 0.3898 , 0.00988809336684
83 , 0.3903 , 0.00988907394756
84 , 0.3905 , 0.00988907394756
85 , 0.3908 , 0.00993020086431
86 , 0.3917 , 0.00993020086431
87 , 0.3918 , 0.00996253730602
88 , 0.3919 , 0.00997838947035
89 , 0.3936 , 0.0101033196
90 , 0.3936 , 0.0101033196
91 , 0.3941 , 0.0101036826545
92 , 0.3943 , 0.0101649219766
93 , 0.3944 , 0.0102237188389
94 , 0.397 , 0.0102237188389
95 , 0.3979 , 0.0103407667569
96 , 0.4003 , 0.0103645733606
97 , 0.4006 , 0.0103645733606
98 , 0.4308 , 0.0103752150732
99 , 0.4324 , 0.0103752150732
100 , 0.4329 , 0.0104985480415
101 , 0.433 , 0.0105154208925
102 , 0.4343 , 0.0105154208925
103 , 0.4351 , 0.0105207192603
104 , 0.4352 , 0.0105207192603
105 , 0.4367 , 0.0105228287183
106 , 0.4392 , 0.0105454371187
107 , 0.4428 , 0.0105507110183
108 , 0.4429 , 0.0105507110183
109 , 0.443 , 0.0105657556758
110 , 0.4434 , 0.0105835886771
111 , 0.4435 , 0.0105859230678
112 , 0.4439 , 0.0105859230678
113 , 0.444 , 0.0106065773672
114 , 0.4443 , 0.0107065061435
115 , 0.445 , 0.0107065061435
116 , 0.4453 , 0.0107163577899
117 , 0.4455 , 0.0107163577899
118 , 0.4455 , 0.0107258116947
119 , 0.4455 , 0.0107444536512
120 , 0.4457 , 0.0107745636328
121 , 0.4475 , 0.010782390449
122 , 0.4477 , 0.0108078193751
123 , 0.4479 , 0.0108078193751
124 , 0.448 , 0.010829112499
125 , 0.4481 , 0.0108403455778
126 , 0.4482 , 0.0108403455778
127 , 0.4483 , 0.0108403455778
128 , 0.4484 , 0.0108796266748
129 , 0.4485 , 0.0108796266748
130 , 0.4492 , 0.0108897189168
131 , 0.4493 , 0.0109030192326
132 , 0.4498 , 0.0110464803032
133 , 0.4498 , 0.0110464803032
134 , 0.4501 , 0.0110464803032
135 , 0.4505 , 0.0110464803032
136 , 0.4513 , 0.0110464803032
137 , 0.452 , 0.0110464803032
138 , 0.4521 , 0.0110464803032
139 , 0.4522 , 0.0110464803032
140 , 0.4523 , 0.0111610192821
141 , 0.4525 , 0.0111610192821
142 , 0.4527 , 0.0112188026608
143 , 0.4532 , 0.0112188026608
144 , 0.4532 , 0.0113464510368
145 , 0.4533 , 0.0113464510368
146 , 0.4534 , 0.0113464510368
147 , 0.4541 , 0.0113464510368
148 , 0.4542 , 0.0113464510368
149 , 0.4544 , 0.0113464510368
150 , 0.4545 , 0.0113464510368
151 , 0.4546 , 0.0113464510368
152 , 0.4547 , 0.0113989448846
153 , 0.4556 , 0.011475301264
154 , 0.457 , 0.011475301264
155 , 0.4581 , 0.011475301264
156 , 0.4593 , 0.011475301264
157 , 0.4603 , 0.0116014666624
158 , 0.4604 , 0.0116014666624
159 , 0.4608 , 0.0116440568229
160 , 0.4609 , 0.01172749748
161 , 0.4617 , 0.01172749748
162 , 0.4619 , 0.0118212659248
163 , 0.462 , 0.0118212659248
164 , 0.4628 , 0.0119219791123
165 , 0.4629 , 0.011950456923
166 , 0.4629 , 0.011950456923
167 , 0.4633 , 0.0120632920422
168 , 0.4634 , 0.0120633999939
169 , 0.4638 , 0.0121557275325
170 , 0.4638 , 0.0121933810443
171 , 0.464 , 0.0121933810443
172 , 0.4642 , 0.0122612337759
173 , 0.4644 , 0.0122612337759
174 , 0.4645 , 0.0123752144005
175 , 0.4646 , 0.0123752144005
176 , 0.4646 , 0.0123895018026
177 , 0.4646 , 0.0123895018026
178 , 0.4652 , 0.0124557764406
179 , 0.4653 , 0.0124557764406
180 , 0.4659 , 0.0124586373335
181 , 0.4663 , 0.0124586373335
182 , 0.4664 , 0.0124799648614
183 , 0.4664 , 0.0125086299367
184 , 0.4665 , 0.0125739867498
185 , 0.4674 , 0.0125739867498
186 , 0.4676 , 0.0125759671514
187 , 0.4679 , 0.0125859011005
188 , 0.4681 , 0.0125939558332
189 , 0.4683 , 0.0126502294853
190 , 0.4684 , 0.0126630091714
191 , 0.4692 , 0.0126630091714
192 , 0.4714 , 0.0126630091714
193 , 0.4717 , 0.0127560294747
194 , 0.4718 , 0.0127560294747
195 , 0.4719 , 0.0127560294747
196 , 0.4728 , 0.0128892164632
197 , 0.4732 , 0.012968630026
198 , 0.4732 , 0.013035937763
199 , 0.4733 , 0.0130902828046
200 , 0.4733 , 0.0130902828046
201 , 0.4735 , 0.013153690676
202 , 0.4743 , 0.013153690676
203 , 0.4746 , 0.0132380914526
204 , 0.4747 , 0.0132750930994
205 , 0.475 , 0.0132750930994
206 , 0.4753 , 0.0133078495879
207 , 0.4754 , 0.0134030190471
208 , 0.4756 , 0.0134030190471
209 , 0.4757 , 0.0134461359435
210 , 0.4761 , 0.0135550708951
211 , 0.4762 , 0.0135550708951
212 , 0.4766 , 0.0136358452751
213 , 0.4768 , 0.0136358452751
214 , 0.477 , 0.0136358452751
215 , 0.4772 , 0.0137263308459
216 , 0.4775 , 0.0137263308459
217 , 0.478 , 0.0137707880887
218 , 0.4785 , 0.0137707880887
219 , 0.4785 , 0.0137707880887
220 , 0.4787 , 0.0137707880887
221 , 0.479 , 0.0137707880887
222 , 0.5022 , 0.013818472905
223 , 0.5024 , 0.01395305255
224 , 0.5041 , 0.0139807506552
225 , 0.5042 , 0.0139807506552
226 , 0.5056 , 0.0140113540885
227 , 0.5057 , 0.0140411689577
228 , 0.5061 , 0.014063790273
229 , 0.5068 , 0.014070460163
230 , 0.5071 , 0.0141250426756
231 , 0.5075 , 0.0142224470108
232 , 0.5076 , 0.0143343404154
233 , 0.5077 , 0.0143370319697
234 , 0.5081 , 0.0143433178654
235 , 0.509 , 0.0143641110687
236 , 0.5091 , 0.0143641110687
237 , 0.5093 , 0.0144218419548
238 , 0.5102 , 0.0144801837613
239 , 0.5103 , 0.0144933626614
240 , 0.5111 , 0.0145450224882
241 , 0.5113 , 0.0146068221248
242 , 0.5115 , 0.0146068221248
243 , 0.5116 , 0.0146068221248
244 , 0.5123 , 0.0146076922029
245 , 0.5127 , 0.0147072046022
246 , 0.5127 , 0.0147181487339
247 , 0.5128 , 0.0147337818106
248 , 0.5128 , 0.0148049493956
249 , 0.5128 , 0.0148291330516
250 , 0.5131 , 0.0148291330516
251 , 0.5132 , 0.0148529682033
252 , 0.5135 , 0.0148529682033
253 , 0.5135 , 0.0149037274592
254 , 0.5136 , 0.0150856327332
255 , 0.5141 , 0.0151546611616
256 , 0.5141 , 0.0151546611616
257 , 0.5144 , 0.0152162157427
258 , 0.5145 , 0.0153145399961
259 , 0.5147 , 0.0153145399961
260 , 0.5148 , 0.0153663060875
261 , 0.5149 , 0.0154948249028
262 , 0.5149 , 0.0155125275468
263 , 0.5151 , 0.0155617848823
264 , 0.5151 , 0.0155867387252
265 , 0.5155 , 0.0156303362471
266 , 0.5155 , 0.0156438838543
267 , 0.5155 , 0.0156470978145
268 , 0.5156 , 0.0157074491583
269 , 0.5157 , 0.0157074491583
270 , 0.5158 , 0.0157074491583
271 , 0.5159 , 0.015742396454
272 , 0.5163 , 0.015742396454
273 , 0.5164 , 0.0157856960254
274 , 0.5164 , 0.0158016447766
275 , 0.5166 , 0.0159434333757
276 , 0.5171 , 0.0159861901664
277 , 0.5172 , 0.0160702330984
278 , 0.5172 , 0.0160702330984
279 , 0.5172 , 0.0160702330984
280 , 0.5173 , 0.0161215792356
281 , 0.5174 , 0.0161222839417
282 , 0.5174 , 0.0161828412476
283 , 0.5177 , 0.016217816835
284 , 0.5177 , 0.0162431448914
285 , 0.5178 , 0.0162866378724
286 , 0.518 , 0.0163546241866
287 , 0.5181 , 0.0163904205316
288 , 0.5185 , 0.0164817328801
289 , 0.5186 , 0.0165861381285
290 , 0.5187 , 0.0165861381285
291 , 0.5189 , 0.016589752082
292 , 0.5192 , 0.0166095036006
293 , 0.5192 , 0.0166359386907
294 , 0.5194 , 0.0166359386907
295 , 0.5195 , 0.0166784050719
296 , 0.5196 , 0.0166939746274
297 , 0.5197 , 0.0167775235564
298 , 0.5198 , 0.016780126196
299 , 0.52 , 0.0169338991012
300 , 0.5201 , 0.0170139253008
301 , 0.5202 , 0.0170328640699
302 , 0.5204 , 0.0171378467403
303 , 0.5204 , 0.0171378467403
304 , 0.5208 , 0.0173110415885
305 , 0.521 , 0.0173453594958
306 , 0.5212 , 0.0175121774394
307 , 0.5213 , 0.0175121774394
308 , 0.5215 , 0.0175935177426
309 , 0.5217 , 0.017685722971
310 , 0.5222 , 0.0179278396476
311 , 0.5229 , 0.0179278396476
312 , 0.523 , 0.0179278396476
313 , 0.5231 , 0.0179742075674
314 , 0.5236 , 0.0179742075674
315 , 0.524 , 0.0179939385532
316 , 0.5248 , 0.018012162143
317 , 0.5249 , 0.0180714591895
318 , 0.525 , 0.0180845888205
319 , 0.525 , 0.0180845888205
320 , 0.525 , 0.0181205352049
321 , 0.5254 , 0.0184206497354
322 , 0.5255 , 0.0184206497354
323 , 0.526 , 0.0187045945889
324 , 0.526 , 0.0187079555217
325 , 0.5263 , 0.0187731280709
326 , 0.5263 , 0.0188521682805
327 , 0.5265 , 0.0188521682805
328 , 0.5266 , 0.0189444668553
329 , 0.5268 , 0.0189444668553
330 , 0.5271 , 0.019047096341
331 , 0.5275 , 0.0190568579501
332 , 0.5275 , 0.0191134689089
333 , 0.5275 , 0.0191134689089
334 , 0.5278 , 0.0191134689089
335 , 0.5279 , 0.0192495903191
336 , 0.5281 , 0.0193082169294
337 , 0.5281 , 0.0194243954549
338 , 0.5282 , 0.0194292933696
339 , 0.5283 , 0.0194360656646
340 , 0.5284 , 0.0195049939547
341 , 0.5288 , 0.0195181022249
342 , 0.5288 , 0.0195852248058
343 , 0.5288 , 0.0195852248058
344 , 0.5291 , 0.0197048085337
345 , 0.5293 , 0.0197126589454
346 , 0.5294 , 0.0197126589454
347 , 0.5297 , 0.0197234064939
348 , 0.5298 , 0.0197234064939
349 , 0.5302 , 0.0197763655488
350 , 0.5303 , 0.0200530375555
351 , 0.5306 , 0.0200530375555
352 , 0.5313 , 0.0200620963034
353 , 0.5314 , 0.0202086218231
354 , 0.5321 , 0.0202086218231
355 , 0.5322 , 0.0202134360419
356 , 0.5325 , 0.0202191506736
357 , 0.534 , 0.0202368024032
358 , 0.5341 , 0.0203128658415
359 , 0.5355 , 0.0203128658415
360 , 0.5356 , 0.020460028313
361 , 0.5357 , 0.0205250509346
362 , 0.5358 , 0.0205399314773
363 , 0.5359 , 0.0205400830219
364 , 0.5363 , 0.0206925320054
365 , 0.5368 , 0.0206925320054
366 , 0.5371 , 0.0207341372535
367 , 0.5372 , 0.0208439414566
368 , 0.5372 , 0.0208439414566
369 , 0.5378 , 0.0210487481585
370 , 0.5379 , 0.0210487481585
371 , 0.5382 , 0.0212922119436
372 , 0.5384 , 0.0212922119436
373 , 0.5385 , 0.021378497061
374 , 0.5386 , 0.021378497061
375 , 0.5387 , 0.0215838200897
376 , 0.5388 , 0.0216312543259
377 , 0.539 , 0.0218649573159
378 , 0.5393 , 0.0220659375269
379 , 0.5398 , 0.023699918354
380 , 0.5399 , 0.0239371157044
381 , 0.54 , 0.0239371157044
382 , 0.5401 , 0.0248651504406
383 , 0.5405 , 0.0250601718241
384 , 0.5408 , 0.0250601718241
385 , 0.5416 , 0.0253997664549
386 , 0.5416 , 0.0253997664549
387 , 0.5434 , 0.025802350288
388 , 0.5435 , 0.0263696853515
389 , 0.5439 , 0.029657896391
390 , 0.5452 , 0.0309810160318
391 , 0.5663 , 0.0311257999821
392 , 0.5666 , 0.0311257999821
393 , 0.5667 , 0.0319890900086
394 , 0.5668 , 0.0335371814963
395 , 0.5672 , 0.0340624877664
396 , 0.5679 , 0.0348319345861
397 , 0.5679 , 0.0351885301036
398 , 0.5681 , 0.035525186137
399 , 0.5681 , 0.0360168723021
400 , 0.5683 , 0.0372714774191
401 , 0.5683 , 0.0381817457952
402 , 0.569 , 0.0388444860542
403 , 0.5691 , 0.0390654970297
404 , 0.5693 , 0.0392994002524
405 , 0.5695 , 0.0396175325464
406 , 0.5696 , 0.0404010783562
407 , 0.5719 , 0.0404010783562
408 , 0.5721 , 0.0406086661452
409 , 0.573 , 0.040992873194
410 , 0.5738 , 0.0418877175596
411 , 0.5738 , 0.0425664009693
412 , 0.5741 , 0.0426862573727
413 , 0.5742 , 0.0428605086222
414 , 0.5743 , 0.0429280462642
415 , 0.5745 , 0.0434367554146
416 , 0.575 , 0.0434367554146
417 , 0.5753 , 0.0437399163388
418 , 0.5757 , 0.0454696249257
419 , 0.5759 , 0.0454696249257
420 , 0.5764 , 0.0457900222417
421 , 0.5765 , 0.0461704350421
422 , 0.577 , 0.0503559189558
423 , 0.5773 , 0.0518329732958
424 , 0.5776 , 0.0570527877322
425 , 0.5778 , 0.0600051871863
426 , 0.5794 , 0.0695776818258
427 , 0.5795 , 0.0697246364536
428 , 0.5803 , 0.0697246364536
429 , 0.5809 , 0.0697246364536
430 , 0.5809 , 0.0697246364536
431 , 0.5811 , 0.0697246364536
432 , 0.5813 , 0.0697246364536
433 , 0.5827 , 0.0698368273959
434 , 0.584 , 0.073330501987
435 , 0.5841 , 0.073330501987
436 , 0.5852 , 0.073330501987
437 , 0.9089 , 0.073330501987
438 , 0.9094 , 0.073330501987
