Feature,Before,After
0 , 12.513 , 12.1450315338
1 , 12.609 , 12.211791926
2 , 12.688 , 12.2187495862
3 , 12.714 , 12.219321359
4 , 12.736 , 12.2259793031
5 , 12.743 , 12.226227513
6 , 12.805 , 12.2266450408
7 , 12.819 , 12.2271513619
8 , 12.823 , 12.2340351669
9 , 12.835 , 12.2398938485
10 , 12.841 , 12.2417012545
11 , 12.847 , 12.2494270958
12 , 12.902 , 12.2517170316
13 , 12.902 , 12.2517739959
14 , 12.908 , 12.2518955682
15 , 12.914 , 12.2680870316
16 , 12.933 , 12.2706770316
17 , 13.0 , 12.2706770316
18 , 13.002 , 12.2706770316
19 , 13.008 , 12.2706770316
20 , 13.014 , 12.2706770316
21 , 13.017 , 12.6776557949
22 , 13.018 , 13.0641708414
23 , 13.021 , 13.0716943851
24 , 13.024 , 13.0773002
25 , 13.037 , 13.1035829917
26 , 13.04 , 13.1324414755
27 , 13.041 , 13.1356797811
28 , 13.041 , 13.1384086599
29 , 13.045 , 13.1394102
30 , 13.046 , 13.14317
31 , 13.047 , 13.15412
32 , 13.054 , 13.1555958964
33 , 13.055 , 13.1581184916
34 , 13.056 , 13.17819
35 , 13.059 , 13.1826141081
36 , 13.064 , 13.2021491055
37 , 13.068 , 13.2021491055
38 , 13.069 , 13.2053091055
39 , 13.071 , 13.2117036813
40 , 13.073 , 13.2120064421
41 , 13.075 , 13.2266527451
42 , 13.077 , 13.2338752632
43 , 13.078 , 13.2511179188
44 , 13.082 , 13.2522547849
45 , 13.085 , 13.2545970226
46 , 13.086 , 13.25522
47 , 13.087 , 13.2624363743
48 , 13.087 , 13.2634465132
49 , 13.089 , 13.2649165132
50 , 13.09 , 13.2685475297
51 , 13.094 , 13.2690303623
52 , 13.095 , 13.2701083914
53 , 13.099 , 13.2743400843
54 , 13.104 , 13.2755052632
55 , 13.107 , 13.2756881984
56 , 13.111 , 13.2767399507
57 , 13.113 , 13.2768869135
58 , 13.114 , 13.2821256551
59 , 13.117 , 13.2918128294
60 , 13.123 , 13.2920364012
61 , 13.128 , 13.29204
62 , 13.128 , 13.2970589456
63 , 13.129 , 13.30127
64 , 13.13 , 13.3044261457
65 , 13.13 , 13.308498844
66 , 13.131 , 13.3098247338
67 , 13.135 , 13.3150540738
68 , 13.135 , 13.3203715867
69 , 13.143 , 13.3253138334
70 , 13.143 , 13.33076
71 , 13.143 , 13.33668
72 , 13.155 , 13.3532985986
73 , 13.156 , 13.356598053
74 , 13.157 , 13.356598053
75 , 13.158 , 13.3566909231
76 , 13.161 , 13.364122
77 , 13.162 , 13.36601
78 , 13.166 , 13.36668
79 , 13.166 , 13.3717650177
80 , 13.167 , 13.3751135314
81 , 13.168 , 13.3778643204
82 , 13.169 , 13.3845
83 , 13.17 , 13.3859543906
84 , 13.171 , 13.3859543906
85 , 13.172 , 13.3882355958
86 , 13.173 , 13.3896559626
87 , 13.175 , 13.3909883772
88 , 13.176 , 13.3937667152
89 , 13.178 , 13.3948496443
90 , 13.181 , 13.3955631814
91 , 13.181 , 13.3955631814
92 , 13.182 , 13.3955631814
93 , 13.185 , 13.3955631814
94 , 13.195 , 13.3955631814
95 , 13.203 , 13.3955631814
96 , 13.207 , 13.39876
97 , 13.209 , 13.4017831814
98 , 13.21 , 13.4042515907
99 , 13.211 , 13.4043432784
100 , 13.212 , 13.4074
101 , 13.212 , 13.4081062575
102 , 13.215 , 13.4095478464
103 , 13.216 , 13.409709993
104 , 13.219 , 13.4098062675
105 , 13.221 , 13.4116362575
106 , 13.223 , 13.41266
107 , 13.224 , 13.4158429814
108 , 13.229 , 13.416989448
109 , 13.233 , 13.4195178464
110 , 13.236 , 13.419759484
111 , 13.237 , 13.422080106
112 , 13.241 , 13.4228310233
113 , 13.245 , 13.4231565807
114 , 13.246 , 13.4234789426
115 , 13.247 , 13.4234789426
116 , 13.248 , 13.4234789426
117 , 13.25 , 13.4239426321
118 , 13.255 , 13.4241256906
119 , 13.256 , 13.4247573963
120 , 13.257 , 13.4258592012
121 , 13.263 , 13.4279268458
122 , 13.267 , 13.4338396
123 , 13.268 , 13.4339297492
124 , 13.269 , 13.4343719885
125 , 13.276 , 13.4344528808
126 , 13.28 , 13.4362742827
127 , 13.281 , 13.4377850503
128 , 13.281 , 13.4448031814
129 , 13.282 , 13.4450441372
130 , 13.283 , 13.44716669
131 , 13.288 , 13.4513856818
132 , 13.289 , 13.4525896412
133 , 13.292 , 13.4525896412
134 , 13.295 , 13.4528778322
135 , 13.296 , 13.45364
136 , 13.298 , 13.4545270966
137 , 13.302 , 13.4552450039
138 , 13.307 , 13.4570465633
139 , 13.307 , 13.4574927337
140 , 13.311 , 13.4575349414
141 , 13.312 , 13.45782
142 , 13.314 , 13.45782
143 , 13.317 , 13.4586269205
144 , 13.323 , 13.4594098366
145 , 13.335 , 13.4607647365
146 , 13.335 , 13.461741955
147 , 13.338 , 13.4640053358
148 , 13.338 , 13.4643868466
149 , 13.341 , 13.4669633191
150 , 13.342 , 13.4669633191
151 , 13.345 , 13.4669633191
152 , 13.346 , 13.4669633191
153 , 13.348 , 13.4669633191
154 , 13.351 , 13.4669633191
155 , 13.352 , 13.4677039717
156 , 13.352 , 13.4708751728
157 , 13.352 , 13.4718066942
158 , 13.356 , 13.4720017021
159 , 13.356 , 13.4738266548
160 , 13.357 , 13.4756693647
161 , 13.358 , 13.4761986251
162 , 13.361 , 13.478473378
163 , 13.364 , 13.479581384
164 , 13.368 , 13.479581384
165 , 13.369 , 13.4829163605
166 , 13.37 , 13.48308
167 , 13.374 , 13.4853159626
168 , 13.378 , 13.4860976756
169 , 13.386 , 13.48625
170 , 13.387 , 13.4865604024
171 , 13.387 , 13.4877825749
172 , 13.387 , 13.4888107916
173 , 13.387 , 13.4890858798
174 , 13.39 , 13.4893935338
175 , 13.392 , 13.48945
176 , 13.394 , 13.4904715933
177 , 13.398 , 13.4926317865
178 , 13.399 , 13.4930245184
179 , 13.399 , 13.4941077053
180 , 13.403 , 13.4952569456
181 , 13.403 , 13.4957898542
182 , 13.404 , 13.4962361715
183 , 13.404 , 13.4962361715
184 , 13.408 , 13.49743
185 , 13.409 , 13.5004818828
186 , 13.41 , 13.5006574009
187 , 13.41 , 13.5012075436
188 , 13.412 , 13.5017487981
189 , 13.413 , 13.5024877724
190 , 13.416 , 13.5026426271
191 , 13.42 , 13.5034066122
192 , 13.42 , 13.50512
193 , 13.423 , 13.5054542227
194 , 13.423 , 13.5060189097
195 , 13.424 , 13.5060566896
196 , 13.424 , 13.50611
197 , 13.424 , 13.5087334902
198 , 13.426 , 13.5095951048
199 , 13.429 , 13.509687876
200 , 13.43 , 13.5097915848
201 , 13.43 , 13.510342817
202 , 13.43 , 13.5114106887
203 , 13.432 , 13.5125336374
204 , 13.433 , 13.5136976879
205 , 13.435 , 13.5136976879
206 , 13.435 , 13.5138585679
207 , 13.436 , 13.5170301063
208 , 13.439 , 13.5173136956
209 , 13.44 , 13.518165625
210 , 13.444 , 13.5184442589
211 , 13.445 , 13.5185026259
212 , 13.445 , 13.5186013187
213 , 13.445 , 13.5195221813
214 , 13.449 , 13.5195899944
215 , 13.449 , 13.5195899944
216 , 13.449 , 13.5195899944
217 , 13.451 , 13.5195899944
218 , 13.458 , 13.5195899944
219 , 13.459 , 13.5212451048
220 , 13.459 , 13.5222396412
221 , 13.46 , 13.5222396412
222 , 13.462 , 13.5222396412
223 , 13.466 , 13.5223731579
224 , 13.468 , 13.5223764516
225 , 13.469 , 13.5224692322
226 , 13.471 , 13.5228466882
227 , 13.474 , 13.5231346078
228 , 13.474 , 13.5235327011
229 , 13.477 , 13.5242809353
230 , 13.478 , 13.5250502417
231 , 13.48 , 13.5252071628
232 , 13.48 , 13.5252345116
233 , 13.482 , 13.5253129447
234 , 13.487 , 13.5261657161
235 , 13.489 , 13.526824039
236 , 13.491 , 13.5269997557
237 , 13.493 , 13.5273464252
238 , 13.493 , 13.529257
239 , 13.494 , 13.5299525582
240 , 13.496 , 13.5299525582
241 , 13.499 , 13.5299525582
242 , 13.506 , 13.5299525582
243 , 13.507 , 13.5299525582
244 , 13.507 , 13.5299525582
245 , 13.508 , 13.5299525582
246 , 13.509 , 13.5309143224
247 , 13.515 , 13.5309849318
248 , 13.516 , 13.531998227
249 , 13.517 , 13.53202
250 , 13.518 , 13.5322547776
251 , 13.524 , 13.5322547776
252 , 13.525 , 13.5322547776
253 , 13.526 , 13.5322547776
254 , 13.528 , 13.5322547776
255 , 13.531 , 13.5330907527
256 , 13.532 , 13.5344910158
257 , 13.533 , 13.5345377816
258 , 13.535 , 13.5346564785
259 , 13.535 , 13.5349440859
260 , 13.536 , 13.5353912005
261 , 13.536 , 13.5357843906
