Feature,Before,After
0 , 361.703 , 292.422065367
1 , 362.037 , 292.431824379
2 , 362.613 , 292.437331524
3 , 362.627 , 294.090852274
4 , 366.837 , 294.95620573
5 , 367.067 , 295.320478908
6 , 367.543 , 299.133218334
7 , 367.963 , 299.14155529
8 , 377.503 , 300.126713661
9 , 377.83 , 302.416084381
10 , 378.283 , 302.417828642
11 , 378.417 , 302.788753231
12 , 380.1 , 305.645616143
13 , 380.147 , 305.645616143
14 , 380.84 , 306.082060185
15 , 381.123 , 306.082060185
16 , 407.757 , 306.431372944
17 , 407.763 , 306.431372944
18 , 407.99 , 306.431372944
19 , 408.07 , 308.466079104
20 , 408.607 , 309.190368816
21 , 408.627 , 309.365306679
22 , 408.683 , 309.365306679
23 , 408.84 , 311.133946832
24 , 413.913 , 311.133946832
25 , 414.033 , 311.467822043
26 , 414.23 , 311.803729743
27 , 414.243 , 311.803729743
28 , 414.67 , 312.125953802
29 , 414.737 , 314.031891826
30 , 414.833 , 314.031891826
31 , 414.997 , 314.307829262
32 , 416.263 , 318.148223384
33 , 416.887 , 319.142918397
34 , 417.633 , 319.143563687
35 , 418.19 , 319.511228883
36 , 422.647 , 320.713600389
37 , 423.077 , 320.807611636
38 , 424.49 , 321.577305369
39 , 424.89 , 322.392536789
40 , 425.063 , 325.846424931
41 , 425.247 , 325.847803047
42 , 426.443 , 325.847803047
43 , 426.527 , 326.195255081
44 , 427.493 , 327.169889314
45 , 427.52 , 327.169889314
46 , 427.66 , 327.680795352
47 , 427.793 , 328.206296185
48 , 428.02 , 328.282683256
49 , 428.083 , 328.282683256
50 , 428.373 , 328.315466263
51 , 428.427 , 328.340595037
52 , 430.697 , 328.340595037
53 , 431.0 , 328.340705827
54 , 432.03 , 328.340705827
55 , 432.143 , 328.340705827
56 , 432.677 , 328.340705827
57 , 432.723 , 328.521188412
58 , 432.757 , 328.852961234
59 , 432.773 , 328.911164719
60 , 433.213 , 328.911164719
61 , 433.223 , 328.911164719
62 , 433.223 , 329.297208739
63 , 433.267 , 329.675451975
64 , 435.977 , 330.100360964
65 , 436.117 , 330.204963807
66 , 437.483 , 330.289152713
67 , 437.92 , 330.388232789
68 , 442.25 , 330.786651573
69 , 442.5 , 330.915587795
70 , 442.547 , 330.915587795
71 , 442.81 , 330.915587795
72 , 443.647 , 331.415457247
73 , 443.92 , 331.770478457
74 , 444.52 , 331.777551895
75 , 444.71 , 332.254330378
76 , 446.25 , 333.145067095
77 , 446.68 , 334.380804201
78 , 447.137 , 334.380804201
79 , 447.423 , 334.380804201
80 , 455.493 , 334.981950831
81 , 455.513 , 336.829771099
82 , 455.64 , 339.207547983
83 , 455.72 , 339.403691094
84 , 456.37 , 339.889767501
85 , 456.437 , 340.228596821
86 , 456.617 , 341.333659808
87 , 456.74 , 341.896901135
88 , 462.473 , 341.956410401
89 , 462.5 , 344.338624069
90 , 462.627 , 346.344015038
91 , 462.74 , 347.272853016
92 , 463.24 , 347.540881085
93 , 463.31 , 347.607719714
94 , 463.363 , 348.323759779
95 , 463.5 , 348.323759779
96 , 476.093 , 348.38313894
97 , 476.1 , 348.38313894
98 , 476.223 , 349.665282427
99 , 476.31 , 350.33631276
100 , 476.863 , 350.784129388
101 , 476.9 , 350.784129388
102 , 476.937 , 356.391483804
103 , 476.997 , 356.704819213
104 , 482.08 , 356.718409523
105 , 482.083 , 361.014556791
106 , 482.373 , 362.000833533
107 , 482.377 , 365.675910009
108 , 482.59 , 365.675910009
109 , 482.64 , 365.68317581
110 , 482.817 , 365.68317581
111 , 482.903 , 366.389668883
112 , 484.29 , 366.812358005
113 , 484.853 , 367.67427247
114 , 485.35 , 368.175458294
115 , 485.437 , 368.852251054
116 , 485.537 , 369.342123214
117 , 485.583 , 369.535164296
118 , 485.59 , 370.135181601
119 , 485.66 , 373.664142118
120 , 486.817 , 374.267433981
121 , 486.973 , 374.267433981
122 , 487.09 , 374.267433981
123 , 487.117 , 374.983592532
124 , 490.043 , 375.011975939
125 , 490.473 , 375.011975939
126 , 491.237 , 375.011975939
127 , 491.52 , 376.26691756
128 , 491.687 , 376.474967441
129 , 491.697 , 376.474967441
130 , 492.127 , 376.692995188
131 , 492.13 , 377.216764459
132 , 492.267 , 377.413256313
133 , 492.36 , 377.769224084
134 , 492.367 , 381.363316669
135 , 492.427 , 384.015035926
136 , 492.623 , 384.463698788
137 , 492.663 , 384.842397439
138 , 492.937 , 384.842397439
139 , 493.007 , 384.842397439
140 , 493.277 , 384.894578958
141 , 493.307 , 387.008775813
142 , 493.543 , 387.2255899
143 , 493.703 , 387.771024066
144 , 493.96 , 391.249017374
145 , 493.987 , 391.249017374
146 , 494.257 , 392.033404909
147 , 494.34 , 392.331913886
148 , 495.49 , 392.331913886
149 , 495.723 , 392.718395157
150 , 496.23 , 392.718395157
151 , 496.78 , 393.857352486
152 , 496.893 , 394.620172324
153 , 497.333 , 394.668834037
154 , 497.37 , 394.668834037
155 , 497.803 , 395.281632115
156 , 497.99 , 395.281632115
157 , 498.49 , 405.280329406
158 , 498.827 , 408.010897494
159 , 499.27 , 414.003149891
160 , 505.637 , 414.016215644
161 , 505.857 , 415.717820005
162 , 506.223 , 415.717820005
163 , 506.36 , 415.717820005
164 , 506.88 , 415.770129617
165 , 506.93 , 418.003598854
166 , 507.247 , 418.003598854
167 , 507.403 , 418.003598854
168 , 508.003 , 418.003598854
169 , 508.34 , 418.003598854
170 , 508.423 , 418.246946045
171 , 508.607 , 423.564382232
172 , 508.71 , 424.182351755
173 , 508.767 , 424.196511701
174 , 509.033 , 424.411818875
175 , 509.37 , 424.725443438
176 , 509.473 , 425.337977717
177 , 509.523 , 425.764139474
178 , 509.893 , 426.588774262
179 , 510.01 , 434.952244942
180 , 510.017 , 435.016929724
181 , 510.183 , 436.948692958
182 , 510.837 , 446.281755358
183 , 510.857 , 446.301527427
184 , 510.89 , 456.349268449
185 , 511.153 , 458.022936973
186 , 511.373 , 461.272776367
187 , 511.407 , 462.126239253
188 , 511.48 , 462.13600296
189 , 511.507 , 462.13600296
190 , 511.693 , 462.13600296
191 , 511.733 , 463.004439589
192 , 512.773 , 463.266840762
193 , 512.87 , 463.728049158
194 , 513.233 , 463.824918873
195 , 513.523 , 464.737683613
196 , 513.53 , 471.425311118
197 , 514.17 , 471.428591648
198 , 515.687 , 471.574463503
199 , 516.22 , 473.63359118
200 , 518.96 , 473.638535776
201 , 519.027 , 473.639585127
202 , 519.413 , 473.640890571
203 , 519.587 , 473.711364974
204 , 521.443 , 474.407604952
205 , 521.51 , 474.407604952
206 , 521.7 , 474.494988819
207 , 521.98 , 474.498507872
208 , 535.553 , 476.017046259
209 , 535.627 , 476.12264447
210 , 535.697 , 476.12264447
211 , 535.707 , 476.12264447
212 , 536.85 , 476.499353387
213 , 536.95 , 477.367683266
214 , 537.113 , 477.367683266
215 , 537.153 , 477.445627088
216 , 543.03 , 477.445627088
217 , 543.083 , 477.445627088
218 , 543.523 , 482.010513922
219 , 543.59 , 490.000826852
220 , 544.507 , 490.000826852
221 , 544.58 , 490.009766433
222 , 544.823 , 490.009766433
223 , 545.017 , 490.009766433
224 , 555.18 , 490.009766433
225 , 555.203 , 490.009766433
226 , 555.26 , 491.004393129
227 , 555.58 , 491.004393129
228 , 555.613 , 491.010205471
229 , 555.633 , 491.010205471
230 , 556.307 , 491.010205471
231 , 556.327 , 491.010205471
232 , 556.34 , 491.413392134
233 , 556.513 , 491.413392134
234 , 556.513 , 491.413392134
235 , 556.63 , 491.413392134
236 , 561.333 , 491.611599896
237 , 561.373 , 491.611599896
238 , 561.42 , 492.018002494
239 , 561.743 , 492.48239615
240 , 561.79 , 492.531038775
241 , 561.847 , 492.531038775
242 , 561.927 , 493.009203581
243 , 561.933 , 493.015670881
244 , 561.96 , 493.015670881
245 , 561.96 , 493.015670881
246 , 561.97 , 495.008683174
247 , 562.067 , 495.008683174
248 , 562.183 , 495.008683174
249 , 562.187 , 495.013622305
250 , 562.57 , 496.014951058
251 , 562.923 , 496.014951058
252 , 564.063 , 496.422869152
253 , 564.093 , 496.599928599
254 , 564.147 , 496.599928599
255 , 564.167 , 497.011015583
256 , 571.35 , 497.011015583
257 , 571.473 , 498.537473795
258 , 571.51 , 507.005140884
259 , 571.567 , 508.013484879
260 , 573.24 , 508.013484879
261 , 573.46 , 509.006223442
262 , 573.653 , 509.006223442
263 , 573.757 , 509.010611307
264 , 575.397 , 509.010611307
265 , 575.477 , 509.010611307
266 , 575.553 , 509.014838523
267 , 575.663 , 509.014838523
268 , 575.7 , 510.008731128
269 , 575.863 , 510.009018345
270 , 576.217 , 510.009018345
271 , 576.247 , 510.00961002
272 , 576.277 , 510.016982419
273 , 576.41 , 510.616801042
274 , 576.48 , 512.016558318
275 , 576.54 , 515.810426229
276 , 579.023 , 519.001831968
