Features ant lucene jedit poi ivy 
wmc 0.00 0.00 0.00 0.00 53.16 
dit 0.00 0.00 0.00 0.00 0.00 
noc 0.00 0.00 0.00 0.00 0.00 
cbo 64.56 100.00 1.27 0.00 100.00 
rfc 100.00 10.13 100.00 100.00 53.16 
lcom 0.00 0.00 0.00 0.00 53.16 
ca 0.00 0.00 0.00 0.00 0.00 
ce 0.00 0.00 0.00 0.00 0.00 
npm 0.00 0.00 0.00 0.00 53.16 
lcom3 0.00 0.00 0.00 0.00 0.00 
loc 100.00 100.00 0.00 100.00 100.00 
dam 0.00 0.00 0.00 0.00 0.00 
moa 0.00 0.00 0.00 0.00 0.00 
mfa 35.44 10.13 0.00 0.00 0.00 
cam 0.00 0.00 0.00 1.27 100.00 
ic 0.00 0.00 0.00 0.00 0.00 
cbm 0.00 0.00 0.00 0.00 0.00 
amc 0.00 100.00 0.00 0.00 0.00 
max_cc 0.00 0.00 0.00 0.00 0.00 
avg_cc 35.44 10.13 1.27 0.00 0.00
