Features CD+FS HOW XTREE CD 
wmc 0.00 0.00 0.00 63.64 
dit 0.00 0.00 0.00 72.73 
noc 0.00 0.00 0.00 0.00 
cbo 0.00 0.00 0.00 100.00 
rfc 100.00 100.00 100.00 100.00 
lcom 0.00 0.00 0.00 100.00 
ca 0.00 0.00 0.00 63.64 
ce 100.00 100.00 0.00 100.00 
npm 0.00 0.00 0.00 100.00 
lcom3 63.64 100.00 0.00 63.64 
loc 100.00 100.00 0.00 100.00 
dam 0.00 0.00 0.00 45.45 
moa 0.00 0.00 0.00 54.55 
mfa 0.00 0.00 0.00 72.73 
cam 0.00 0.00 0.00 100.00 
ic 0.00 0.00 0.00 36.36 
cbm 0.00 0.00 0.00 36.36 
amc 100.00 100.00 0.00 100.00 
max_cc 0.00 0.00 0.00 45.45 
avg_cc 100.00 100.00 0.00 100.00 
