Features CD+FS HOW XTREE CD 
wmc 0.00 0.00 100.00 94.58 
dit 0.00 0.00 0.00 80.30 
noc 0.00 0.00 0.00 26.11 
cbo 0.00 0.00 0.99 94.09 
rfc 82.27 97.04 0.00 82.27 
lcom 94.09 0.00 0.00 94.09 
ca 0.00 79.31 99.01 89.66 
ce 0.00 0.00 0.00 90.15 
npm 93.60 96.06 0.00 93.60 
lcom3 0.00 0.00 0.99 79.31 
loc 0.00 100.00 100.00 100.00 
dam 0.00 0.00 0.00 55.67 
moa 0.00 0.00 0.00 60.59 
mfa 80.79 0.00 0.99 80.79 
cam 94.09 100.00 0.99 94.09 
ic 0.00 0.00 0.00 68.47 
cbm 0.00 0.00 0.00 71.43 
amc 100.00 99.51 0.99 100.00 
max_cc 0.00 0.00 0.00 71.43 
avg_cc 0.00 0.00 0.99 98.52 
