Features ant lucene jedit poi ivy 
wmc 0.00 1.88 0.00 0.00 0.00 
dit 0.00 0.00 0.00 0.00 0.00 
noc 0.00 0.00 0.00 0.00 0.00 
cbo 100.00 100.00 0.00 0.00 38.26 
rfc 100.00 1.41 100.00 100.00 0.00 
lcom 0.00 0.00 0.00 0.00 61.74 
ca 0.00 1.88 0.00 0.00 0.00 
ce 0.00 0.00 0.00 0.00 0.00 
npm 0.00 0.00 0.00 0.00 0.00 
lcom3 0.00 0.00 0.00 0.00 0.00 
loc 100.00 100.00 0.23 100.00 100.00 
dam 0.00 0.00 0.00 0.00 0.00 
moa 0.00 0.00 0.00 0.00 0.00 
mfa 0.00 1.41 0.00 0.00 0.00 
cam 0.00 0.00 0.00 0.23 100.00 
ic 0.00 0.00 0.00 0.00 0.00 
cbm 0.00 0.00 0.00 0.00 0.00 
amc 0.00 99.53 0.00 0.00 61.74 
max_cc 0.00 0.00 0.00 0.00 0.00 
avg_cc 0.00 1.41 0.00 0.00 0.00 
