Feature,Before,After
0 , 2960 , 3088.09
1 , 2986 , 3093.16
2 , 3106 , 3108.6
3 , 3127 , 3113.18
4 , 3154 , 3113.18
5 , 3155 , 3113.18
6 , 3155 , 3126.77
7 , 3157 , 3126.77
8 , 3161 , 3131.02
9 , 3165 , 3134.8
10 , 3167 , 3141.75
11 , 3171 , 3147.25
12 , 3178 , 3171.0
13 , 3185 , 3173.12
14 , 3195 , 3191.28
15 , 3230 , 3194.32
16 , 3238 , 3212.56
17 , 3258 , 3214.44
18 , 3303 , 3219.72
19 , 3325 , 3231.25
20 , 3358 , 3237.96
21 , 3424 , 3260.03
22 , 3457 , 3260.03
23 , 3532 , 3260.03
24 , 4668 , 3260.03
25 , 4669 , 3260.03
26 , 4698 , 3284.28
27 , 4705 , 3301.13
28 , 4759 , 3308.5
29 , 4792 , 3347.66
30 , 4880 , 3352.77
31 , 4894 , 3427.77
32 , 4897 , 3505.43
33 , 4898 , 4154.26
34 , 4907 , 4170.84
35 , 4913 , 4194.75
36 , 4915 , 4199.27
37 , 4920 , 4199.27
38 , 4943 , 4220.03
39 , 4951 , 4249.33
40 , 4953 , 4257.06
41 , 4957 , 4275.24
42 , 5044 , 4291.31
43 , 5045 , 4315.72
44 , 5048 , 4317.56
45 , 5062 , 4317.56
46 , 5090 , 4341.78
47 , 5091 , 4355.29
48 , 5186 , 4369.36
49 , 5230 , 4369.49
50 , 5241 , 4370.75
51 , 5274 , 4382.37
52 , 5314 , 4400.26
53 , 5314 , 4402.39
54 , 5339 , 4880.0
55 , 5342 , 4880.0
56 , 5354 , 4880.0
57 , 5390 , 4887.37
58 , 5419 , 4888.16
59 , 5420 , 4888.84
60 , 5457 , 4888.84
61 , 5465 , 4888.84
62 , 5467 , 4888.84
63 , 5499 , 4888.84
64 , 5508 , 4900.11
65 , 5548 , 4900.89
66 , 14594 , 4930.58
67 , 14627 , 5044.5
68 , 14653 , 5069.84
69 , 14656 , 5328.18
70 , 14667 , 5334.44
71 , 14685 , 5470.78
72 , 14694 , 5477.17
73 , 14710 , 5495.62
74 , 14727 , 9380.44
75 , 14744 , 9385.9
76 , 14785 , 10120.61
77 , 14852 , 10120.61
78 , 16342 , 10160.67
79 , 16351 , 10160.67
80 , 16392 , 10344.72
81 , 16399 , 10347.9
82 , 16401 , 11105.5
83 , 16427 , 11121.11
84 , 16440 , 14817.54
85 , 16442 , 14840.17
86 , 16446 , 16446.0
87 , 16448 , 16463.82
88 , 16479 , 16482.77
89 , 16531 , 16531.0
