Feature,Before,After
0 , 199.95 , 199.012124732
1 , 201.52 , 199.012124732
2 , 202.68 , 200.007096751
3 , 202.81 , 200.007096751
4 , 203.18 , 200.007096751
5 , 203.86 , 200.007096751
6 , 204.51 , 200.007096751
7 , 204.96 , 200.007096751
8 , 204.99 , 200.007096751
9 , 205.71 , 200.007096751
10 , 205.74 , 200.007096751
11 , 206.12 , 200.007096751
12 , 207.1 , 200.007096751
13 , 207.65 , 200.007096751
14 , 207.75 , 200.007096751
15 , 207.89 , 200.013421758
16 , 208.37 , 200.013421758
17 , 208.92 , 200.013421758
18 , 208.99 , 200.013421758
19 , 209.58 , 200.013421758
20 , 209.7 , 200.013421758
21 , 209.84 , 200.013421758
22 , 210.24 , 200.019788056
23 , 210.71 , 200.019788056
24 , 211.19 , 200.019788056
25 , 211.27 , 200.019788056
26 , 211.39 , 200.019788056
27 , 211.59 , 201.015992191
28 , 211.59 , 201.015992191
29 , 211.74 , 201.015992191
30 , 212.45 , 201.015992191
31 , 212.52 , 201.020372958
32 , 212.92 , 201.020372958
33 , 212.93 , 201.512057499
34 , 212.94 , 201.512057499
35 , 212.94 , 201.512057499
36 , 213.18 , 201.512057499
37 , 213.85 , 201.512057499
38 , 213.86 , 201.961797632
39 , 214.0 , 201.961797632
40 , 214.15 , 201.961797632
41 , 214.24 , 202.004977315
42 , 214.25 , 202.004977315
43 , 214.31 , 202.004977315
44 , 214.34 , 202.004977315
45 , 214.65 , 202.004977315
46 , 214.72 , 202.004977315
47 , 214.89 , 202.004977315
48 , 215.18 , 202.004977315
49 , 215.2 , 202.007951549
50 , 215.27 , 202.007951549
51 , 215.31 , 202.018517304
52 , 215.48 , 202.018517304
53 , 215.74 , 202.327536482
54 , 215.85 , 202.327536482
55 , 215.85 , 202.474436928
56 , 215.88 , 202.96498094
57 , 215.96 , 202.96498094
58 , 215.99 , 202.96498094
59 , 216.27 , 203.01530337
60 , 216.3 , 203.029372429
61 , 216.63 , 203.029372429
62 , 216.84 , 203.029372429
63 , 216.87 , 203.047087936
64 , 216.91 , 203.047087936
65 , 216.91 , 203.047087936
66 , 216.91 , 203.047087936
67 , 217.19 , 203.444274125
68 , 217.29 , 203.444274125
69 , 217.4 , 203.444274125
70 , 217.63 , 203.444274125
71 , 217.65 , 203.444274125
72 , 217.73 , 203.51049053
73 , 218.15 , 204.010083095
74 , 218.2 , 204.012709311
75 , 218.37 , 204.012709311
76 , 218.4 , 204.012709311
77 , 218.5 , 204.012709311
78 , 218.59 , 204.012709311
79 , 218.73 , 204.012709311
80 , 218.96 , 204.012709311
81 , 219.31 , 204.012709311
82 , 219.37 , 204.012709311
83 , 219.5 , 204.061246478
84 , 219.77 , 204.378725037
85 , 219.83 , 204.473771558
86 , 219.87 , 204.473771558
87 , 219.95 , 204.570264339
88 , 220.8 , 204.672768602
89 , 220.87 , 204.672768602
90 , 228.3 , 204.672768602
91 , 230.24 , 204.672768602
92 , 230.47 , 205.004382372
93 , 230.74 , 205.004382372
94 , 230.79 , 205.004382372
95 , 231.0 , 205.004382372
96 , 231.22 , 205.004382372
97 , 231.32 , 205.016840151
98 , 231.44 , 205.016840151
99 , 231.62 , 205.016840151
100 , 231.63 , 205.52017068
101 , 231.76 , 206.020061387
102 , 231.89 , 206.020061387
103 , 232.0 , 206.020061387
104 , 232.18 , 206.020061387
105 , 232.22 , 206.020061387
106 , 232.22 , 206.020061387
107 , 232.27 , 207.002505738
108 , 232.47 , 207.002505738
109 , 232.47 , 207.014324104
110 , 232.49 , 207.014324104
111 , 232.59 , 207.014324104
112 , 232.62 , 207.014324104
113 , 232.64 , 207.014324104
114 , 232.64 , 207.014324104
115 , 232.65 , 207.014324104
116 , 232.98 , 207.014324104
117 , 232.99 , 207.014324104
118 , 233.0 , 207.014324104
119 , 233.12 , 208.01508604
120 , 233.12 , 209.010945655
121 , 233.15 , 209.010945655
122 , 233.23 , 209.017667527
123 , 233.33 , 209.017667527
124 , 233.33 , 209.087683542
125 , 233.42 , 210.005937247
126 , 233.43 , 210.005937247
127 , 233.43 , 210.005937247
128 , 233.45 , 210.005937247
129 , 233.54 , 210.009552725
130 , 233.55 , 210.009552725
131 , 233.66 , 210.009552725
132 , 233.79 , 210.009552725
133 , 233.85 , 211.00238021
134 , 234.1 , 211.00238021
135 , 234.13 , 211.00238021
136 , 234.22 , 211.00364762
137 , 234.24 , 211.00364762
138 , 234.25 , 211.008389214
139 , 234.27 , 211.008389214
140 , 234.38 , 211.107036566
141 , 234.42 , 211.107036566
142 , 234.45 , 211.107036566
143 , 234.47 , 212.018317935
